ID,SPEAKER,TEXT,LING_FEATURES,t5_summary,flan_t5_summary
T118,A,I couldn't vote on the motions if I hadn't seen the minutes. I didn't see the minutes until this coup was finished,"cond_unreal, temp",timothy stanley: i didn't see the minutes until this coup was finished . he says he couldn't vote on the motions if he hadn't seen the minutes .,I couldn't vote on the motions if I hadn't seen the minutes. I didn't see the minutes until this coup was finished
T118,Q,"Well, you understand, Mr. Grubbs, that minutes are taken to reflect the actions that are taken or the topics discussed at a meeting, and that the minutes wouldn't exist prior to the meeting existing, right? ",cond_unreal,the minutes are taken to reflect the actions that are taken or the topics discussed at a meeting . the minutes wouldn't exist prior to the meeting existing .,"Mr. Grubbs said that the Minutes were taken to reflect the actions that were taken or the topics discussed at a meeting, and that the Minutes would not exist prior to the meeting existing."
T118,A,"In a previous meeting, they should have been handed out ",cond_unreal,"in a previous meeting, they should have been handed out . they should not have been given out at a meeting .",a copy of a copy of a copy of a copy of a copy of a copy of a copy.
T118,Q,"Well, I'm not quite asking about previous meetings. I'm asking about whether you disagreed with 
any of the actions taken by Sun West Acquisition Corporation at this November 25th, 2015 meeting,",,"roxanne jones asks if you disagreed with any of the actions taken by Sun West Acquisition Corporation . she says it's not quite a question about previous meetings . jokes: if so, i'd like to know if there was a disagreement with the actions .","Sun West Acquisition Corporation is a publicly traded company, and it's a publicly traded company, and it's a publicly traded company, and it's a publicly traded company."
T120,Q,You were not sitting in a chair at the Hogan Law Firm for this meeting?,,"you were not sitting in a chair at the Hogan Law Firm for this meeting? if so, what did you think?",I was not sitting in a chair at the Hogan Law Firm for this meeting. I was not sitting in a chair at this meeting.
T120,A,I was sitting in the Hogan Law Firm for this meeting.,,"i was sitting in the Hogan Law Firm for this meeting . i'm not a lawyer, but I'm an attorney.",I was sitting in the Hogan Law Firm for this meeting. I was sitting in the Hogan Law Firm for this meeting.
T120,Q,"So wouldn't you have had an opportunity, therefore, to object at the time that the meeting was happening if you disagreed with any of the actions being taken? This is well before minutes of the meeting would have been prepared","cond_unreal, cond_real, temp",bob greene: wouldn't you have had an opportunity to object if you disagreed with actions? he says minutes of meeting would have been prepared before minutes were prepared . greene says it's well before minutes prepared for the meeting .,"So wouldn't you have had an opportunity, therefore, to object at the time that the meeting was happening if you disagreed with any of the actions being taken?"
T120,A,"We're on different pages, sir. Sir, I don't understand what you're talking about because I didn't receive these -- I didn't have an opportunity to object to the contents of the meetings becuase I didn't have a copy of the meeting when I arrived at the next meeting. I got all the meeting minutes delivered to me in a big thick package after last meeting, after our last meeting that we had. I didn't know -- I didn't have the contents there to look at how it was structured and how it was worded in order for me to object to the contents until after the fact.","disfluency_repeat, disfluency_gen, temp","sir, i didn't have an opportunity to object to the contents of meetings . i got all the meeting minutes delivered to me in a big thick package after last meeting .",I don't understand what you're talking about because I didn't have an opportunity to object to the contents of the meetings becuase I didn't have a copy of the meeting when I arrived at the next meeting.
T120,Q,So you are contesting the fact that you seconded Mr. Taglia's motion --,,"bob greene: you seconded the motion of mr. Taglia . he says you're contesting the fact that you backed that motion . greene says he's arguing that he should have voted against it, not against it .",So you are contesting the fact that you seconded Mr. Taglia's motion --
T120,A,I did not,,. - I did not do anything wrong with my life . I was not able to do that .,"I did not, I did not, I did not, I did not, I did not."
T120,Q,-- November 25th?,temp,25.11.2010 - What time of year are you going to be able to go to the movies?,
T120,A,I did not,,. - I did not do anything wrong with my life . I was not able to do that .,"I did not, I did not, I did not, I did not, I did not."
T211,Q,Okay. Are those Certificate of Liability Insurance documents used regularly in your business?,,"OK. Are those Certificate of Liability Insurance documents used regularly in your business? if so, you may be able to get a certificate of liability insurance for your business.","No, I don't think so. I don't think it's a good idea to use them."
T211,A,How would you define the term regularly?,cond_real,how would you define the term regularly? How would you use the term 'regulatory'?,"The term ""regularly"" refers to the number of days in a year that a person spends a day in a day."
T211,Q,That it is not unusual to use them.,,That it is not unusual to use them . that they are not unusual in a number of ways .,It is not unusual for them to be used in such a way. It is not unusual for them to be used in such a way.
T211,A,Yes. We use those forms in our office,,"Yes. We use those forms in our office . if you have any questions, please feel free to contact us .","Yes. We use those forms in our office, and we use those forms in our office, and we use those forms."
T211,Q,Okay. And who provides those forms to you?,,"Okay. and who provides those forms to you? Okay. Okay. I'm sorry, but I don't know what you're thinking.",I'm not sure. I'm not sure. I'm not sure. I'm not sure. I'm not sure.
T211,A,We have them on our computer system here in the office and --,,"bob greene: we have them on our computer system here in the office . he says they're on the computer system, and we've got them on the system . greene says we're happy to have them, but it's not enough .","We have them on our computer system here in the office, and we have them on our computer system here in the office"
T211,Q,Right. I'm sorry I interrupted you.,uncertainty_hedge,right. I'm sorry I interrupted you . right. i'm going to try to get you back on track.,I'm sorry. I'm sorry I interrupted you. I'm sorry. I'm sorry.
T211,A,No. It's okay. I'm sorry.,uncertainty_hedge,"no. It's okay. I'm sorry, but it's not a big deal.",It's okay. I'm sorry. It's okay. I'm sorry.
T211,Q,Where do you get them from?,,Where do you get them from? How do you know where they come from? where do you find them?,You can get them from a store or a supermarket. You can get them from a store or a grocery store.
T211,A,We have them on a folder in our shared W drive on a computer system.,,we have them on a folder in our shared W drive on computer system . they are in a shared folder on our shared drive .,We have them on a folder in a shared W drive on a computer system.
T211,Q,Okay. Do you know where the -- you're telling me where the certificates are kept and I'm grateful for that. Do you know where the certificates come from?,disfluency_correction,do you know where the certificates come from? i'm grateful for you telling me where they come from .,You're telling me where the certificates are kept and I'm grateful for that. Do you know where the certificates come from?
T211,A,I don't know where they originated from. No.,uncertainty_hedge,i don't know where they originated from . i'm not sure where they came from.,"I don't know where they originated from, I don't know where they originated from, I don't know where they originated from"
T211,Q,"Okay. In other words, when you run out of them do you know where to go and get them?",cond_real,do you know where to go to get them when you run out of them? cnn.com's ireport.com has a complete list of all the answers .,"When you run out of them, do you know where to go and get them? :-)"
T211,A,In the folder that's on our computer. They're saved on our computer.,,in the folder that's on our computer. They're saved on our pc.,Where do you want to save the files? - You want to save the files on your computer. - You want to save the files on your computer.
T211,Q,Okay. And have they -- have those certificates been in use since you started the Costello Agency?,disfluency_correction,have those certificates been in use since you started the Costello Agency? and have they -- have they been used?,"No, they haven't been in use since you started the Costello Agency. They've been in use since you started the Costello Agency."
T211,A,Yes.,,"Yes. I'm not sure if it's a good thing, but if not, then it is a bad thing.",Is there any evidence that he is a convicted felon? Is there any evidence that he is a convicted felon? Is there any evidence that he is a felon?
T211,Q,And they're still in use?,,bob greene: they're still in use? he says . greene says they've been around for a while .,"They're still in use, and they're still in use, and they're still in use."
T211,A,Yes.,,"Yes. I'm not sure if it's a good thing, but if not, then it is a bad thing.",Is there any evidence that he is a convicted felon? Is there any evidence that he is a convicted felon? Is there any evidence that he is a felon?
T211,Q,Okay. And does State Farm know that you use those?,,"Okay. and does State Farm know that you use those . if so, does that mean that you're using them?","State Farm does not know that you use those, nor does it know that you are using them."
T211,A,I don't know.,uncertainty_hedge,: i don't know. :-) . ;-),"I don't know, I don't know, I don't know, I don't know."
T211,Q,Do you ever transmit those to State Farm?,,do you ever transmit those to State Farm? Do you ever send those to the State Farm farm?,State Farm is a state-owned company that owns a large portion of State Farm's land.
T211,A,No.,,n îüü  â âî .,"(iii) The jury convicted the defendants of trespassing and obstruction of justice, obstruction of justice, and obstruction of justice."
T211,Q,Okay. Ever?,,Okay. Okay. Ever? Okay. I'm not sure if that's a good thing.,"No, I'm not. I'm not. I'm not. I'm not. I'm not."
T211,A,No.,,n îüü  â âî .,"(iii) The jury convicted the defendants of trespassing and obstruction of justice, obstruction of justice, and obstruction of justice."
T211,Q,Alright. And what are they used for?,,"alright. and what are they used for? they're used for a variety of purposes, but they are also used for other purposes .","They're used for a variety of things, including sex, drugs, alcohol, and other drugs."
T211,A,They're used to share a portion of some insurance information in regards to a policy for a customer.,,they're used to share a portion of some insurance information in regards to a policy for a customer .,They're used to share a portion of some insurance information in regards to a policy for a customer.
T211,Q,Okay. But -- and I understand that what you're telling me is that they're used to share information with a customer.,disfluency_correction,"bob greene: you're telling me that they're used to share information with a customer . he says that's ok, but i'm not sure if they share that information with customers . greene says it's not a good idea to share customer information .",I understand that what you're saying is that they're used to share information with a customer.
T211,A,Yes.,,"Yes. I'm not sure if it's a good thing, but if not, then it is a bad thing.",Is there any evidence that he is a convicted felon? Is there any evidence that he is a convicted felon? Is there any evidence that he is a felon?
T211,Q,Are they used for any other purpose?,,are they used for any other purpose?  are they used in any other way?,"No, they are not used for any other purpose, but they are used as a tool for a variety of purposes."
T211,A,The customers will typically ask for them so they can provide them to an employer or if they're like a contractor to show somebody they're working for that they have insurance on a vehicle.,,the customers will typically ask for them so they can provide them to an employer or if they're like a contractor to show somebody they are working for that they have insurance on a vehicle .,"If you're like a contractor, you're going to need a car insurance policy."
T211,Q,"So in other words, it's used as proof of insuring coverage?",,"in other words, it's used as proof of insuring coverage . if you're unsure, ask your insurance company for a copy .","It's a good idea to have a copy of your insurance policy, but it's also a good idea to have a copy of your policy."
